Stock #,Status,Price,Sleeps,Length,Location,URL,Horsepower
2113711,USED,91499,4,42 ft 6 in,"Sherman, TX",https://rv.campingworld.com/rvdetails/used-class-a-diesel-rvs/2008-travel-supreme-travel-supreme-42dl14-front-living-90k-SRM2113711,
2014925A,USED,29399,4,33 ft 0 in,"Camping World of Reno - Reno, NV",https://rv.campingworld.com/rvdetails/used-class-a-diesel-rvs/2000-national-rv-tradewinds-7370-300hp-front-living-20k-RNV2014925A,
2179155,USED,49999,7,38 ft 0 in,"Nashville, TN",https://rv.campingworld.com/rvdetails/used-class-a-diesel-rvs/2006-damon-astoria-3679-front-living-40k-NAS2179155,
2081356,USED,52499,-,35 ft 0 in,"Katy, TX",https://rv.campingworld.com/rvdetails/used-class-a-diesel-rvs/2005-winnebago-journey-34h-front-living-50k-KAT2081356,
2182626P,USED,53499,3,25 ft 7 in,"Garner, NC",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2009-coach-house-platinum-ii-241xl-front-living-50k-RAL2182626P,
2178973,USED,60499,2,25 ft 0 in,"Center Conway, NH",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2009-itasca-navion-24dl-rear-bath-60k-CNW2178973,
2208508,USED,62499,4,0 ft 0 in,"Oakwood, GA",https://rv.campingworld.com/rvdetails/used-class-a-diesel-rvs/2005-forest-river-charleston-400qs-front-living-60k-ORV2208508,
2204010,USED,65999,4,25 ft 0 in,"Lubbock, TX",https://rv.campingworld.com/rvdetails/used-class-c-rvs/2008-winnebago-view-24j-rear-living-60k-LUB2204010,
2161800,USED,66999,6,25 ft 5 in,"Biloxi, MS",https://rv.campingworld.com/rvdetails/used-class-a-diesel-rvs/2011-winnebago-via-25r-front-living-60k-BIL2161800,
2193644,USED,69999,5,29 ft 10 in,"Newport News, VA",https://rv.campingworld.com/rvdetails/used-class-a-diesel-rvs/2010-itasca-reyo-25r-rear-bath-60k-NVA2193644,
